t,c,r
42.74224079717967,268.99998285023065,39.08981028481315
50.006740679058254,280.3631366885784,36.84295760774259
39.3735081915624,230.51370926947604,52.83051371749749
65.41886082353308,248.6119094433583,34.77273690255018
172.05781986965061,276.71571585384714,68.42264273224939
39.392181203066414,229.56770258983454,52.85934214459318
115.56716558760829,271.5521545725372,25.0
54.13758926540325,228.37401949154327,41.159080153802655
103.89909446291004,228.28793643998165,67.41698441870618
38.82523410201392,274.49825323205044,43.79396280881698
68.59431085020267,203.808301674026,44.92654817160301
34.48954627616794,260.22637397978036,46.17141864431976
58.022671052774314,300.0,38.39876849071754
34.3971531928289,248.1235813058647,49.465137684077604
32.73840322285802,249.94483223736592,46.61437729240415
67.0506167329488,200.0,59.91884515112678
33.1532732347777,243.05614254625024,47.32376886890651
32.96947273470668,248.60209735592068,47.24839164756521
32.84067769775024,251.6210476988924,46.495198584187015
32.86694110387377,249.57435876544238,46.05878262708961
